Genome download complete
Downloaded and unzipped GCA_000005845.2
Downloaded and unzipped GCA_000008865.2
Downloaded and unzipped GCA_000007765.2
Downloaded and unzipped GCA_000006925.2
Downloaded and unzipped GCA_000006945.2
Downloaded and unzipped GCA_000013425.1
Downloaded and unzipped GCA_000022005.1
Downloaded and unzipped GCA_000240185.2
Downloaded and unzipped GCA_000008725.1
Downloaded and unzipped GCA_000196035.1
Downloaded and unzipped GCA_000191145.1
Downloaded and unzipped GCA_000009045.1
Downloaded and unzipped GCA_000195955.2
Downloaded and unzipped GCA_000009085.1
Downloaded and unzipped GCA_000006765.1
